drug_master_usage_id,drug_master_id
O|2*2C,ITRTS
O|1*1A1/2,JADT
O|1*1PB,JANT1
O|1*1PB,JANTM50
O|1*1PB,JANTM5010
O|*Q,K2
O|*Q,K3
O|*Q,K4
OP|1*1P,KALTC
OP|1*1P,KALTF
MS|1*4,KAMXM
DC|*2BD,KAMXS
O|*2P,KEPO
O|1*3P,KEPT2
O|1*2P,KEPT5
DC|*2BD,KETXK
SP|*EOD,KETXS
O|*2P,KLAO
O|1*1PB,LAMTT1
O|1*1PB,LAMTT2
SC|*UB,LANIC
O|0.5*2PBD,LANO
O|1*1PB,LANT2
O|1*1PB,LANT6
O|1*1C,LATT40
OP|1*2,LESO
O|1*1H,LEVTC5
O|3*1P,LEVTF100
O|1*1PB,LEVTV5
O|1*1PB,LEXT
O|1*1PB,LEXT20
ON|*3A,LIDOV
DSKN|*2,LIPXBAPM
O|1*3P,LITT
O|1*1PD,LIVT2
O|1*Q6,LOPTS
O|5*1PC,LOROG
O|1*1PB,LORTC
O|1*1H,LORTT1
O|1*1H,LORTT5
O|1*1P,LOSTZ5
PS|*2,LTSP
O|1*3P,M3/21
O|1*3P,M3/23
O|*3P,M3/31
|*DOC,M161
|*DOC,M163
|*DOC,M343
O|1*1PB,MADTI1
O|1*3P,MAGT
O|1*1P,MAGTC
|*DOC,MCTO1
O|1*3A,MEBTVD
OP|1*3P,MEIO50
O|1*3P,MEITA
O|*2P,MEPOM
O|1*2P,MEPT2
O|1*2P,MEPT5
O|1*1H,MERTC
O|1*3A,MEST
IJ|*TD,METIA50
-,METIP15
IJ|*TD,METIP20
-,METIP25
IJ|*TD,METIP175
O|*1PSA/W,METT25
O|1*3P,METTFM5
O|1*1P,METTFM8
O|1*1PB,METTL
O|1*3P,METTM4
O|1*1PB,METTR10
O|1*1PB,METTT5
O|1*3P,METTY
O|1*1PD,MEVT2
DH|*2BD,MI360
O|1*H,MIATM3
O|1*1PB,MINTR
O|1*1PB,MINTR2
NS|0.5*2,MINX
O|1*1H,MOMOG
O|1*1H,MOMT
DY|*2BD,MOMXM5
DY|*2BD,MOMXM15
O|1*1H,MONT10
CH|1*1H,MONTA5
O|*1P,MTVOD
O|*1P,MTVOV
O|1*2P,MTVTGPO
OP|1*1PD,MUCO5SF
DX|*2BD,MUPX
O|1*Q12,MYCT
O|1*1PB,MYFT36
O|1*3P,MYOTN
OP|1*1P,NACT
O|1*2P,NAPTC25
O|1*3P,NASTPL
SS|2*2,NASX
SS|2*1,NASXN14
BE|1*4,NATXT
O|1*1A1/2,NEXT4
O|1*2P,NIFTD2
|*DOC,NIRP5
O|1*2P,NITT
O|1*1H,NITTA5
SC|*DOC,NORIN10
O|1*3P,NORTG
O|1*2P,NORTNX4
SS|1*2,NORXS
SC|*UABD,NOVIR1
ND|1*2,NSSI5
RN|**2,NSSIR1
|*NSS,NSSXT
|*DOC,NUTOJ
ON|*3P,NYSO
O|1*1PB,OBITZ
O|1*2P,OFLT2
DC|*2BD,OLIX60
O|1*1A1/2,OMETM
O|1*2A,ONDT4
O|1*2A,ONDTD8
O|1*1PB,OPST
O|*HOTHER,ORFT5
|*OSPED,ORSOB
OP|1*ORS,ORSOS
|*DOC,OSET30
|*DOC,OSET45
O|1*2P,OSET75
O|1*1A,OSSTB
O|1*2P,OXYT5L
DZ|*2BD,P1
O|1*Q6,P5TTS
DC|*2BD,P30
O|*2P,PATOCO
BE|1*1,PATXD
O|1*3P,PC3
O|1*3P,PC4
|*DOC,PEDO1
O|1*3A,PENT5
O|1*4A,PENTV2
DSKN|*2,PH5XL25
CL|*2BD,PH5XS1
FBB|*2BD,PH5XWPF4
O|1*2P,PHET12G
O|1*2P,PHETGPO6
DFA|*2BD,PHYXCAI
|*DOC,PHYXCL15
